,id,club_id,book_id,rate,number_of_ratings
98,7019,2,0061099686,9.0,1
99,7020,2,0553582909,9.0,1
100,7021,2,042518630X,10.0,1
101,7022,2,0812523873,5.0,1
102,7023,2,0380715899,0.0,1
103,7024,2,0961769947,6.0,1
104,7025,2,0671623249,4.0,1
105,7026,2,0060938412,2.0,1
106,7027,2,0140067477,1.0,1
107,7028,2,0375410538,7.0,1
108,7029,2,0060177586,7.0,1
109,7030,2,0071416331,2.0,1
110,7031,2,0553062042,6.0,1
111,7032,2,0316769487,4.0,1
112,7033,2,0312252617,1.0,1
113,7034,2,0374157065,1.0,1
114,7035,2,0425176428,10.0,1
115,7036,2,0679425608,4.0,1
116,7037,2,1881320189,3.0,1
117,7038,2,0440234743,0.0,1
118,7039,2,0375759778,2.0,1
119,7040,2,3404921038,5.0,1
120,7041,2,0553582747,7.0,1
121,7042,2,0440223571,1.0,1
122,7043,2,0842342702,10.0,1
123,7044,2,0964778319,10.0,1
124,7045,2,0394743741,3.0,1
125,7046,2,0804106304,1.0,1
126,7047,2,0345465083,9.0,1
127,7048,2,1558531025,9.0,1
128,7049,2,0394895894,8.0,1
129,7050,2,0966986105,9.0,1
130,7051,2,0743403843,1.0,1
131,7052,2,0375509038,10.0,1
132,7053,2,8445071777,2.0,1
133,7054,2,0679429220,2.0,1
134,7055,2,074322678X,5.0,1
135,7056,2,0771074670,0.0,1
136,7057,2,0452264464,1.0,1
137,7058,2,0609804618,8.0,1
138,7059,2,0345402871,10.0,1
139,7060,2,0156047624,1.0,1
140,7061,2,0245542957,5.0,1
141,7062,2,0553280333,2.0,1
142,7063,2,0679865691,0.0,1
143,7064,2,0441783589,4.0,1
144,7065,2,1569871213,2.0,1
145,7066,2,0316748641,2.0,1
146,7067,2,0316973742,1.0,1
147,7068,2,0060168013,4.0,1
148,7069,2,067176537X,10.0,1
149,7070,2,0679810307,0.0,1
150,7071,2,2070423204,0.0,1
151,7072,2,0345260317,1.0,1
152,7073,2,1853262404,4.0,1
153,7074,2,0312970242,3.0,1
154,7075,2,0451625889,3.0,1
155,7076,2,0060930365,4.0,1
156,7077,2,0671867156,5.0,1
157,7078,2,0312261594,6.0,1
158,7079,2,080652121X,10.0,1
159,7080,2,0887841740,5.0,1
160,7081,2,1558746218,5.0,1
161,7082,2,0425182908,7.0,1
162,7083,2,0439095026,6.0,1
163,7084,2,0689821166,6.0,1
164,7085,2,0425163091,5.0,1
165,7086,2,0671888587,4.0,1
166,7087,2,1853260053,1.0,1
167,7088,2,3442410665,3.0,1
168,7089,2,0440225701,4.0,1
169,7090,2,0375406328,5.0,1
170,7091,2,038078243X,3.0,1
171,7092,2,0060914068,4.0,1
172,7093,2,0340767936,0.0,1
173,7094,2,0446310786,5.0,1
174,7095,2,1841721522,5.0,1
175,7096,3,0195153448,3.0,1
176,7097,3,0374157065,7.0,1
177,7098,3,0679425608,4.0,1
178,7099,3,1558746218,10.0,1
179,7100,3,0689821166,7.0,1
180,7101,3,3442410665,6.0,1
181,7102,3,0375406328,3.0,1
182,7103,3,0446310786,4.0,1
183,7104,3,0061099686,5.0,1
184,7105,3,0553582909,8.0,1
185,7106,3,0842342702,4.0,1
186,7107,3,0553280333,7.0,1
187,7108,3,0964778319,0.0,1
188,7109,3,0679810307,6.0,1
189,7110,3,2070423204,2.0,1
190,7111,3,0140067477,1.0,1
191,7112,3,0394895894,5.0,1
192,7113,3,0316769487,0.0,1
193,7114,3,0312252617,9.0,1
194,7115,3,0312261594,2.0,1
195,7116,3,0316748641,8.0,1
196,7117,3,0060973129,3.0,1
197,7118,3,1575663937,7.0,1
198,7119,3,1841721522,7.0,1
199,7120,3,0061076031,3.0,1
200,7121,3,3404921038,8.0,1
201,7122,3,0553582747,6.0,1
202,7123,3,0425182908,7.0,1
203,7124,3,0060914068,6.0,1
204,7125,3,0961769947,0.0,1
205,7126,3,0679865691,9.0,1
206,7127,3,0394743741,5.0,1
207,7128,3,1853262404,10.0,1
208,7129,3,0312970242,3.0,1
209,7130,3,0060938412,4.0,1
210,7131,3,0966986105,6.0,1
211,7132,3,0060930365,0.0,1
212,7133,3,0071416331,7.0,1
213,7134,3,1881320189,6.0,1
214,7135,3,1879384493,10.0,1
215,7136,3,0971880107,6.0,1
216,7137,3,0345402871,10.0,1
217,7138,3,0375759778,10.0,1
218,7139,3,0060168013,3.0,1
219,7140,3,0671888587,7.0,1
220,7141,3,042518630X,3.0,1
221,7142,3,0440223571,7.0,1
222,7143,3,0345260317,5.0,1
223,7144,3,1853260053,0.0,1
224,7145,3,0345465083,8.0,1
225,7146,3,1558531025,4.0,1
226,7147,3,1569871213,9.0,1
227,7148,3,0743403843,1.0,1
228,7149,3,0316973742,8.0,1
229,7150,3,074322678X,8.0,1
230,7151,3,080652121X,8.0,1
231,7152,3,0452264464,1.0,1
232,7153,3,0609804618,2.0,1
233,7154,3,0684823802,0.0,1
234,7155,3,0440225701,5.0,1
235,7156,3,0245542957,3.0,1
236,7157,3,0380715899,9.0,1
237,7158,3,0671867156,0.0,1
238,7159,3,0002005018,1.0,1
239,7160,3,0393045218,6.0,1
240,7161,3,038078243X,9.0,1
241,7162,3,0804106304,6.0,1
242,7163,3,0441783589,3.0,1
243,7164,3,0060177586,10.0,1
244,7165,3,0553062042,0.0,1
245,7166,3,8445071777,3.0,1
246,7167,3,0440234743,6.0,1
247,7168,3,0425163091,7.0,1
248,7169,3,0156047624,3.0,1
249,7170,3,0451625889,8.0,1
250,7171,3,0375410538,2.0,1
251,7172,3,0679429220,7.0,1
252,7173,3,0771074670,2.0,1
253,7174,3,0345417623,7.0,1
254,7175,3,067176537X,2.0,1
255,7176,3,0812523873,4.0,1
256,7177,3,0399135782,2.0,1
257,7178,3,0375509038,7.0,1
258,7179,3,0425176428,0.0,1
259,7180,3,0671623249,8.0,1
260,7181,3,0340767936,10.0,1
261,7182,3,0887841740,7.0,1
262,7183,3,0439095026,6.0,1
263,7184,4,0002005018,6.0,1
264,7185,4,0887841740,9.0,1
265,7186,4,1881320189,9.0,1
266,7187,4,0345402871,8.0,1
267,7188,4,0345417623,6.0,1
268,7189,4,0375759778,1.0,1
269,7190,4,0553582909,7.0,1
270,7191,4,0671888587,4.0,1
271,7192,4,042518630X,0.0,1
272,7193,4,0440223571,5.0,1
273,7194,4,0842342702,7.0,1
274,7195,4,0060914068,10.0,1
275,7196,4,0679865691,3.0,1
276,7197,4,2070423204,7.0,1
277,7198,4,0394743741,7.0,1
278,7199,4,0804106304,8.0,1
279,7200,4,0060938412,5.0,1
280,7201,4,1558531025,1.0,1
281,7202,4,0060930365,4.0,1
282,7203,4,0071416331,9.0,1
283,7204,4,0375509038,7.0,1
284,7205,4,0553062042,2.0,1
285,7206,4,0312252617,6.0,1
286,7207,4,0316748641,1.0,1
287,7208,4,0195153448,9.0,1
288,7209,4,0060973129,10.0,1
289,7210,4,0393045218,6.0,1
290,7211,4,0399135782,10.0,1
291,7212,4,1575663937,7.0,1
292,7213,4,1879384493,5.0,1
293,7214,4,0061076031,8.0,1
294,7215,4,0971880107,2.0,1
295,7216,4,0684823802,10.0,1
296,7217,4,0061099686,9.0,1
297,7218,4,0812523873,5.0,1
298,7219,4,0380715899,0.0,1
299,7220,4,0961769947,6.0,1
300,7221,4,0671623249,4.0,1
301,7222,4,0140067477,1.0,1
302,7223,4,0375410538,7.0,1
303,7224,4,0060177586,7.0,1
304,7225,4,0316769487,4.0,1
305,7226,4,0374157065,1.0,1
306,7227,4,0425176428,10.0,1
307,7228,4,0679425608,4.0,1
308,7229,4,0440234743,0.0,1
309,7230,4,3404921038,5.0,1
310,7231,4,0553582747,7.0,1
311,7232,4,0964778319,10.0,1
312,7233,4,0345465083,9.0,1
313,7234,4,0394895894,8.0,1
314,7235,4,0966986105,9.0,1
315,7236,4,0743403843,1.0,1
316,7237,4,8445071777,2.0,1
317,7238,4,0679429220,2.0,1
318,7239,4,1558746218,10.0,1
319,7240,4,0689821166,7.0,1
320,7241,4,3442410665,6.0,1
321,7242,4,0375406328,3.0,1
322,7243,4,0446310786,4.0,1
323,7244,4,0553280333,7.0,1
324,7245,4,0679810307,6.0,1
325,7246,4,0312261594,2.0,1
326,7247,4,1841721522,7.0,1
327,7248,4,0425182908,7.0,1
328,7249,4,1853262404,10.0,1
329,7250,4,0312970242,3.0,1
330,7251,4,074322678X,5.0,1
331,7252,4,080652121X,1.0,1
332,7253,4,0452264464,4.0,1
333,7254,4,067176537X,5.0,1
334,7255,4,0441783589,2.0,1
335,7256,4,0671867156,3.0,1
336,7257,4,0245542957,6.0,1
337,7258,4,1853260053,2.0,1
338,7259,4,1569871213,5.0,1
339,7260,4,0316973742,9.0,1
340,7261,4,0340767936,5.0,1
341,7262,4,0771074670,7.0,1
342,7263,4,0439095026,3.0,1
343,7264,4,0609804618,5.0,1
344,7265,4,038078243X,7.0,1
345,7266,4,0425163091,2.0,1
346,7267,4,0156047624,4.0,1
347,7268,4,0345260317,1.0,1
348,7269,4,0440225701,0.0,1
349,7270,4,0451625889,10.0,1
350,7271,4,0060168013,4.0,1
351,7272,5,0771074670,7.0,1
352,7273,5,080652121X,8.0,1
353,7274,5,1558746218,2.0,1
354,7275,5,0440234743,1.0,1
355,7276,5,0452264464,9.0,1
356,7277,5,0609804618,4.0,1
357,7278,5,0971880107,2.0,1
358,7279,5,3404921038,2.0,1
359,7280,5,0375406328,6.0,1
360,7281,5,0060168013,4.0,1
361,7282,5,038078243X,7.0,1
362,7283,5,0553582909,2.0,1
363,7284,5,0425182908,8.0,1
364,7285,5,0842342702,3.0,1
365,7286,5,0440225701,1.0,1
366,7287,5,0245542957,8.0,1
367,7288,5,0671623249,7.0,1
368,7289,5,0394743741,2.0,1
369,7290,5,0804106304,5.0,1
370,7291,5,0060938412,6.0,1
371,7292,5,0441783589,2.0,1
372,7293,5,0375410538,8.0,1
373,7294,5,0195153448,9.0,1
374,7295,5,0002005018,8.0,1
375,7296,5,0060973129,10.0,1
376,7297,5,0393045218,6.0,1
377,7298,5,0399135782,10.0,1
378,7299,5,1575663937,7.0,1
379,7300,5,1879384493,5.0,1
380,7301,5,0061076031,8.0,1
381,7302,5,0345417623,6.0,1
382,7303,5,0684823802,10.0,1
383,7304,5,0061099686,9.0,1
384,7305,5,042518630X,10.0,1
385,7306,5,0812523873,5.0,1
386,7307,5,0380715899,0.0,1
387,7308,5,0961769947,6.0,1
388,7309,5,0140067477,1.0,1
389,7310,5,0060177586,7.0,1
390,7311,5,0071416331,2.0,1
391,7312,5,0553062042,6.0,1
392,7313,5,0316769487,4.0,1
393,7314,5,0312252617,1.0,1
394,7315,5,0425176428,10.0,1
395,7316,5,1881320189,0.0,1
396,7317,5,0375759778,3.0,1
397,7318,5,3442410665,9.0,1
398,7319,5,0446310786,9.0,1
399,7320,5,0553582747,4.0,1
400,7321,5,0553280333,8.0,1
401,7322,5,0964778319,0.0,1
402,7323,5,0679865691,1.0,1
403,7324,5,2070423204,6.0,1
404,7325,5,0340767936,5.0,1
405,7326,5,0375509038,3.0,1
406,7327,5,0679429220,1.0,1
407,7328,5,0316748641,6.0,1
408,7329,5,0316973742,8.0,1
409,7330,5,0374157065,8.0,1
410,7331,5,0887841740,5.0,1
411,7332,5,0345402871,3.0,1
412,7333,5,1558531025,8.0,1
413,7334,5,0060930365,10.0,1
414,7335,5,067176537X,5.0,1
415,7336,5,0671888587,10.0,1
416,7337,5,0440223571,4.0,1
417,7338,5,0156047624,10.0,1
418,7339,5,0679810307,9.0,1
419,7340,5,0345260317,8.0,1
420,7341,5,0312970242,6.0,1
421,7342,5,0345465083,3.0,1
422,7343,5,0966986105,9.0,1
423,7344,5,0671867156,2.0,1
424,7345,5,0679425608,1.0,1
425,7346,5,074322678X,8.0,1
426,7347,5,1853260053,0.0,1
427,7348,5,0743403843,10.0,1
428,7349,5,0439095026,3.0,1
429,7350,5,0394895894,5.0,1
430,7351,5,1569871213,0.0,1
431,7352,5,0312261594,6.0,1
432,7353,5,0425163091,5.0,1
433,7354,5,0689821166,7.0,1
434,7355,5,1841721522,8.0,1
435,7356,5,1853262404,7.0,1
436,7357,5,0060914068,2.0,1
437,7358,6,0002005018,6.0,1
438,7359,6,0887841740,9.0,1
439,7360,6,1881320189,9.0,1
440,7361,6,0345402871,8.0,1
441,7362,6,0345417623,6.0,1
442,7363,6,0375759778,1.0,1
443,7364,6,0553582909,7.0,1
444,7365,6,0671888587,4.0,1
445,7366,6,042518630X,0.0,1
446,7367,6,0440223571,5.0,1
447,7368,6,0842342702,7.0,1
448,7369,6,0060914068,10.0,1
449,7370,6,0679865691,3.0,1
450,7371,6,2070423204,7.0,1
451,7372,6,0394743741,7.0,1
452,7373,6,0804106304,8.0,1
453,7374,6,0060938412,5.0,1
454,7375,6,1558531025,1.0,1
455,7376,6,0060930365,4.0,1
456,7377,6,0071416331,9.0,1
457,7378,6,0375509038,7.0,1
458,7379,6,0553062042,2.0,1
459,7380,6,0312252617,6.0,1
460,7381,6,0316748641,1.0,1
461,7382,6,0195153448,3.0,1
462,7383,6,0374157065,7.0,1
463,7384,6,0679425608,4.0,1
464,7385,6,1558746218,10.0,1
465,7386,6,0689821166,7.0,1
466,7387,6,3442410665,6.0,1
467,7388,6,0375406328,3.0,1
468,7389,6,0446310786,4.0,1
469,7390,6,0061099686,5.0,1
470,7391,6,0553280333,7.0,1
471,7392,6,0964778319,0.0,1
472,7393,6,0679810307,6.0,1
473,7394,6,0140067477,1.0,1
474,7395,6,0394895894,5.0,1
475,7396,6,0316769487,0.0,1
476,7397,6,0312261594,2.0,1
477,7398,6,074322678X,5.0,1
478,7399,6,080652121X,1.0,1
479,7400,6,0452264464,4.0,1
480,7401,6,0971880107,3.0,1
481,7402,6,3404921038,7.0,1
482,7403,6,067176537X,5.0,1
483,7404,6,0441783589,2.0,1
484,7405,6,0375410538,1.0,1
485,7406,6,0060177586,8.0,1
486,7407,6,8445071777,10.0,1
487,7408,6,0679429220,5.0,1
488,7409,6,0671867156,3.0,1
489,7410,6,0425176428,10.0,1
490,7411,6,0440234743,5.0,1
491,7412,6,0553582747,4.0,1
492,7413,6,0340767936,5.0,1
493,7414,6,0316973742,8.0,1
494,7415,6,0609804618,4.0,1
495,7416,6,0061076031,5.0,1
496,7417,6,0439095026,0.0,1
497,7418,6,038078243X,6.0,1
498,7419,6,0425182908,3.0,1
499,7420,6,0156047624,9.0,1
500,7421,6,0245542957,8.0,1
501,7422,6,0961769947,8.0,1
502,7423,6,0345260317,10.0,1
503,7424,6,0399135782,3.0,1
504,7425,6,1879384493,6.0,1
505,7426,6,0393045218,5.0,1
506,7427,6,0771074670,5.0,1
507,7428,6,1575663937,0.0,1
508,7429,6,0812523873,8.0,1
509,7430,6,0440225701,4.0,1
510,7431,6,0671623249,3.0,1
511,7432,6,1569871213,0.0,1
512,7433,6,0743403843,5.0,1
513,7434,6,0060168013,5.0,1
514,7435,6,0380715899,8.0,1
515,7436,6,1853262404,1.0,1
516,7437,6,0312970242,2.0,1
517,7438,6,0684823802,5.0,1
518,7439,6,0425163091,7.0,1
519,7440,6,1853260053,7.0,1
520,7441,6,0060973129,9.0,1
521,7442,6,0345465083,5.0,1
522,7443,6,1841721522,5.0,1
523,7444,6,0966986105,7.0,1
524,7445,7,0771074670,7.0,1
525,7446,7,080652121X,8.0,1
526,7447,7,1558746218,2.0,1
527,7448,7,0440234743,1.0,1
528,7449,7,0452264464,9.0,1
529,7450,7,0609804618,4.0,1
530,7451,7,0971880107,2.0,1
531,7452,7,3404921038,2.0,1
532,7453,7,0375406328,6.0,1
533,7454,7,0060168013,4.0,1
534,7455,7,038078243X,7.0,1
535,7456,7,0553582909,2.0,1
536,7457,7,0425182908,8.0,1
537,7458,7,0842342702,3.0,1
538,7459,7,0440225701,1.0,1
539,7460,7,0245542957,8.0,1
540,7461,7,0671623249,7.0,1
541,7462,7,0394743741,2.0,1
542,7463,7,0804106304,5.0,1
543,7464,7,0060938412,6.0,1
544,7465,7,0441783589,2.0,1
545,7466,7,0375410538,8.0,1
546,7467,7,0195153448,6.0,1
547,7468,7,0393045218,4.0,1
548,7469,7,074322678X,5.0,1
549,7470,7,0061076031,0.0,1
550,7471,7,0345402871,10.0,1
551,7472,7,0345417623,1.0,1
552,7473,7,042518630X,0.0,1
553,7474,7,0156047624,1.0,1
554,7475,7,0553280333,2.0,1
555,7476,7,0964778319,9.0,1
556,7477,7,0679865691,0.0,1
557,7478,7,0140067477,8.0,1
558,7479,7,1569871213,2.0,1
559,7480,7,0375509038,2.0,1
560,7481,7,0316769487,3.0,1
561,7482,7,0679429220,7.0,1
562,7483,7,0316748641,2.0,1
563,7484,7,0316973742,1.0,1
564,7485,7,0887841740,9.0,1
565,7486,7,1575663937,3.0,1
566,7487,7,1881320189,6.0,1
567,7488,7,0439095026,10.0,1
568,7489,7,0375759778,6.0,1
569,7490,7,3442410665,1.0,1
570,7491,7,0553582747,3.0,1
571,7492,7,0440223571,7.0,1
572,7493,7,0380715899,4.0,1
573,7494,7,0679810307,6.0,1
574,7495,7,0394895894,6.0,1
575,7496,7,0071416331,6.0,1
576,7497,7,8445071777,4.0,1
577,7498,7,0374157065,2.0,1
578,7499,7,0689821166,1.0,1
579,7500,7,0812523873,8.0,1
580,7501,7,0345260317,8.0,1
581,7502,7,0743403843,5.0,1
582,7503,7,0312261594,4.0,1
583,7504,7,0399135782,8.0,1
584,7505,7,1841721522,0.0,1
585,7506,7,0684823802,8.0,1
586,7507,7,0425163091,0.0,1
587,7508,7,067176537X,4.0,1
588,7509,7,0061099686,0.0,1
589,7510,7,0060914068,4.0,1
590,7511,7,2070423204,4.0,1
591,7512,7,1853260053,8.0,1
592,7513,7,1558531025,4.0,1
593,7514,7,0002005018,1.0,1
594,7515,7,0451625889,1.0,1
595,7516,7,0966986105,0.0,1
596,7517,7,0446310786,5.0,1
597,7518,7,0961769947,9.0,1
598,7519,7,0345465083,1.0,1
599,7520,7,0340767936,2.0,1
600,7521,7,0312970242,8.0,1
601,7522,7,0060930365,4.0,1
602,7523,7,0060177586,2.0,1
603,7524,7,0553062042,9.0,1
604,7525,7,0312252617,7.0,1
605,7526,7,0671867156,0.0,1
606,7527,7,0060973129,9.0,1
607,7528,7,0679425608,10.0,1
608,7529,8,0195153448,1.0,1
609,7530,8,0060973129,1.0,1
610,7531,8,0374157065,1.0,1
611,7532,8,0609804618,0.0,1
612,7533,8,1841721522,4.0,1
613,7534,8,0439095026,3.0,1
614,7535,8,0425163091,8.0,1
615,7536,8,0440223571,4.0,1
616,7537,8,0440225701,0.0,1
617,7538,8,0060914068,5.0,1
618,7539,8,2070423204,8.0,1
619,7540,8,0312970242,10.0,1
620,7541,8,0345465083,5.0,1
621,7542,8,0394895894,3.0,1
622,7543,8,0340767936,0.0,1
623,7544,8,0743403843,6.0,1
624,7545,8,0071416331,0.0,1
625,7546,8,0375509038,0.0,1
626,7547,8,0553062042,0.0,1
627,7548,8,0679429220,6.0,1
628,7549,8,0312261594,0.0,1
629,7550,8,0316973742,5.0,1
630,7551,8,0393045218,0.0,1
631,7552,8,0425176428,0.0,1
632,7553,8,074322678X,3.0,1
633,7554,8,080652121X,3.0,1
634,7555,8,1575663937,3.0,1
635,7556,8,1881320189,7.0,1
636,7557,8,0452264464,5.0,1
637,7558,8,0689821166,6.0,1
638,7559,8,0345402871,2.0,1
639,7560,8,0684823802,4.0,1
640,7561,8,0375759778,5.0,1
641,7562,8,3404921038,10.0,1
642,7563,8,0671888587,4.0,1
643,7564,8,042518630X,4.0,1
644,7565,8,0812523873,5.0,1
645,7566,8,0671623249,4.0,1
646,7567,8,0679810307,8.0,1
647,7568,8,1853260053,1.0,1
648,7569,8,1558531025,1.0,1
649,7570,8,0441783589,8.0,1
650,7571,8,1569871213,7.0,1
651,7572,8,0966986105,0.0,1
652,7573,8,0060930365,1.0,1
653,7574,8,0060177586,6.0,1
654,7575,8,0002005018,1.0,1
655,7576,8,0887841740,7.0,1
656,7577,8,1558746218,5.0,1
657,7578,8,0971880107,6.0,1
658,7579,8,0425182908,0.0,1
659,7580,8,0842342702,10.0,1
660,7581,8,0553280333,8.0,1
661,7582,8,0679865691,6.0,1
662,7583,8,0345260317,10.0,1
663,7584,8,0060938412,1.0,1
664,7585,8,0140067477,7.0,1
665,7586,8,0451625889,1.0,1
666,7587,8,0316769487,6.0,1
667,7588,8,0771074670,7.0,1
668,7589,8,0345417623,1.0,1
669,7590,8,0446310786,3.0,1
670,7591,8,0553582747,4.0,1
671,7592,8,0380715899,9.0,1
672,7593,8,0804106304,4.0,1
673,7594,8,0679425608,4.0,1
674,7595,8,1879384493,4.0,1
675,7596,8,0061076031,3.0,1
676,7597,8,3442410665,10.0,1
677,7598,8,0245542957,4.0,1
678,7599,8,0961769947,1.0,1
679,7600,8,8445071777,2.0,1
680,7601,8,0316748641,7.0,1
681,7602,8,0440234743,5.0,1
682,7603,8,038078243X,7.0,1
683,7604,8,0375410538,7.0,1
684,7605,8,0671867156,2.0,1
685,7606,8,0399135782,4.0,1
686,7607,8,0060168013,4.0,1
687,7608,8,067176537X,0.0,1
688,7609,8,0061099686,1.0,1
689,7610,9,0195153448,3.0,1
690,7611,9,0374157065,7.0,1
691,7612,9,0679425608,4.0,1
692,7613,9,1558746218,10.0,1
693,7614,9,0689821166,7.0,1
694,7615,9,3442410665,6.0,1
695,7616,9,0375406328,3.0,1
696,7617,9,0446310786,4.0,1
697,7618,9,0061099686,5.0,1
698,7619,9,0553582909,8.0,1
699,7620,9,0842342702,4.0,1
700,7621,9,0553280333,7.0,1
701,7622,9,0964778319,0.0,1
702,7623,9,0679810307,6.0,1
703,7624,9,2070423204,2.0,1
704,7625,9,0140067477,1.0,1
705,7626,9,0394895894,5.0,1
706,7627,9,0316769487,0.0,1
707,7628,9,0312252617,9.0,1
708,7629,9,0312261594,2.0,1
709,7630,9,0316748641,8.0,1
710,7631,9,0060973129,3.0,1
711,7632,9,1575663937,7.0,1
712,7633,9,1841721522,7.0,1
713,7634,9,0061076031,3.0,1
714,7635,9,3404921038,8.0,1
715,7636,9,0553582747,6.0,1
716,7637,9,0425182908,7.0,1
717,7638,9,0060914068,6.0,1
718,7639,9,0961769947,0.0,1
719,7640,9,0679865691,9.0,1
720,7641,9,0394743741,5.0,1
721,7642,9,1853262404,10.0,1
722,7643,9,0312970242,3.0,1
723,7644,9,0060938412,4.0,1
724,7645,9,0966986105,6.0,1
725,7646,9,0060930365,0.0,1
726,7647,9,0071416331,7.0,1
727,7648,9,0399135782,3.0,1
728,7649,9,1881320189,2.0,1
729,7650,9,0440234743,4.0,1
730,7651,9,0609804618,10.0,1
731,7652,9,0971880107,8.0,1
732,7653,9,0684823802,2.0,1
733,7654,9,038078243X,4.0,1
734,7655,9,0380715899,9.0,1
735,7656,9,0804106304,4.0,1
736,7657,9,1853260053,10.0,1
737,7658,9,0451625889,3.0,1
738,7659,9,0441783589,1.0,1
739,7660,9,1569871213,3.0,1
740,7661,9,0060177586,7.0,1
741,7662,9,0375509038,0.0,1
742,7663,9,0553062042,7.0,1
743,7664,9,0002005018,5.0,1
744,7665,9,0345402871,0.0,1
745,7666,9,067176537X,4.0,1
746,7667,9,0671888587,10.0,1
747,7668,9,0440223571,3.0,1
748,7669,9,0245542957,6.0,1
749,7670,9,0671623249,6.0,1
750,7671,9,0679429220,10.0,1
751,7672,9,0671867156,5.0,1
752,7673,9,0316973742,9.0,1
753,7674,9,0393045218,8.0,1
754,7675,9,0425176428,8.0,1
755,7676,9,0771074670,4.0,1
756,7677,9,0887841740,5.0,1
757,7678,9,0425163091,10.0,1
758,7679,9,042518630X,3.0,1
759,7680,9,0440225701,8.0,1
760,7681,9,0340767936,10.0,1
761,7682,9,1879384493,10.0,1
762,7683,9,0375759778,10.0,1
763,7684,9,0060168013,3.0,1
764,7685,9,0345260317,5.0,1
765,7686,9,0345465083,8.0,1
766,7687,9,1558531025,4.0,1
767,7688,9,0743403843,1.0,1
768,7689,9,074322678X,6.0,1
769,7690,9,0452264464,3.0,1
770,7691,9,0345417623,8.0,1
771,7692,9,0812523873,4.0,1
772,7693,9,8445071777,3.0,1
773,7694,9,080652121X,5.0,1
774,7695,9,0375410538,1.0,1
